date,stage,day,duration_minutes,topic
2025-06-01,Stage 1,1,20,Python Basics
2025-06-02,Stage 1,2,10,Python Basics
2025-06-03,Stage 1,3,45,Functions
2025-06-04,Stage 1,4,120,Data Structures
2025-06-05,Stage 1,5,75,Strings
2025-06-06,Stage 1,6,50,File Handling
2025-06-07,Stage 1,7,80,OOP
2025-06-08,Stage 1,8,100,NumPy
2025-06-09,Stage 1,9,110,Pandas
2025-06-10,Stage 1,10,15,Pandas
2025-06-11,Stage 2,11,130,Data Cleaning
2025-06-12,Stage 2,12,140,Matplotlib
2025-06-13,Stage 2,13,125,Git
2025-06-14,Stage 2,14,150,GitHub
2025-06-15,Stage 2,15,10,Mini Project
