Program Dimulai
CPU Tinggi
Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
INFO | Program Dimulai
WARNING | CPU Tinggi
ERROR | Database Mati
